Term1,Term2,Frec Bigrama,Frec Contexto (Term1),Probabilidad Condicional
?,</s>,3,3,1.0
admin,le,1,1,1.0
admincrud.html,</s>,1,1,1.0
awanta,</s>,1,1,1.0
chill,</s>,1,1,1.0
con,los,1,1,1.0
confirmar,?,1,1,1.0
contratacion.php,</s>,1,1,1.0
copypaste,de,1,1,1.0
crea,de,1,1,1.0
creo,</s>,1,1,1.0
da,en,1,1,1.0
dar,a,1,1,1.0
directamente,lo,1,1,1.0
en,nuevo,1,1,1.0
estabas,zzz,1,1,1.0
evento,</s>,1,1,1.0
falto,de,1,1,1.0
fecha,</s>,1,1,1.0
feo,</s>,1,1,1.0
has,un,1,1,1.0
igual,el,1,1,1.0
imput's,y,1,1,1.0
la,fecha,1,1,1.0
lo,crea,1,1,1.0
luego,</s>,1,1,1.0
nuevo,evento,1,1,1.0
o,directamente,1,1,1.0
ojos,</s>,1,1,1.0
osea,pero,1,1,1.0
pa,?,1,1,1.0
pense,q,1,1,1.0
pero,de,1,1,1.0
porque,te,1,1,1.0
q,estabas,1,1,1.0
que,dar,1,1,1.0
range,</s>,1,1,1.0
salon,creo,1,1,1.0
seleccionar,salon,1,1,1.0
selects,y,1,1,1.0
tambien,le,1,1,1.0
te,falto,1,1,1.0
tiene,que,1,1,1.0
todo,feo,1,1,1.0
todos,los,1,1,1.0
tu,pa,1,1,1.0
un,copypaste,1,1,1.0
we,</s>,1,1,1.0
zzz,</s>,1,1,1.0
a,</s>,1,2,0.5
a,confirmar,1,2,0.5
el,admin,1,2,0.5
el,de,1,2,0.5
le,da,1,2,0.5
le,tiene,1,2,0.5
los,imput's,1,2,0.5
los,ojos,1,2,0.5
si,</s>,1,2,0.5
si,el,1,2,0.5
y,luego,1,3,0.3333333333333333
y,range,1,3,0.3333333333333333
y,selects,1,3,0.3333333333333333
ya,</s>,1,3,0.3333333333333333
ya,?,1,3,0.3333333333333333
ya,y,1,3,0.3333333333333333
de,chill,1,5,0.2
de,contratacion.php,1,5,0.2
de,la,1,5,0.2
de,seleccionar,1,5,0.2
de,todos,1,5,0.2
<s>,ya,3,19,0.15789473684210525
<s>,si,2,19,0.10526315789473684
<s>,a,1,19,0.05263157894736842
<s>,admincrud.html,1,19,0.05263157894736842
<s>,awanta,1,19,0.05263157894736842
<s>,con,1,19,0.05263157894736842
<s>,has,1,19,0.05263157894736842
<s>,igual,1,19,0.05263157894736842
<s>,o,1,19,0.05263157894736842
<s>,osea,1,19,0.05263157894736842
<s>,pense,1,19,0.05263157894736842
<s>,porque,1,19,0.05263157894736842
<s>,tambien,1,19,0.05263157894736842
<s>,todo,1,19,0.05263157894736842
<s>,tu,1,19,0.05263157894736842
<s>,we,1,19,0.05263157894736842
